Rank,Streamer,start_month,avg_avg_viewers
4,ibai,17-Jun,2718
4,ibai,17-May,3181.6
4,ibai,17-Apr,3037.2
4,ibai,17-Mar,3016.333333
4,ibai,17-Feb,2759.4
4,ibai,17-Jan,2577.125
4,ibai,16-Dec,3708.75
4,ibai,16-Nov,1757.5
4,ibai,15-Dec,301
5,nickmercs,21-Mar,51172.83333
5,nickmercs,21-Feb,51875.05882
5,nickmercs,21-Jan,47046.57895
5,nickmercs,20-Dec,42231.55556
5,nickmercs,20-Nov,41429.95238
5,nickmercs,20-Oct,48254.13043
5,nickmercs,20-Sep,50666.52174
5,nickmercs,20-Aug,52941.95833
5,nickmercs,20-Jul,41675.66667
5,nickmercs,20-Jun,36404.89655
5,nickmercs,20-May,34115.38095
5,nickmercs,20-Apr,24894.66667
5,nickmercs,20-Mar,18505.44828
5,nickmercs,20-Feb,16215.95455
5,nickmercs,20-Jan,14163.47826
5,nickmercs,19-Dec,14215.62963
5,nickmercs,19-Nov,15347.375
5,nickmercs,19-Oct,15587.48148
5,nickmercs,19-Sep,19471.13636
5,nickmercs,19-Aug,19639.84848
5,nickmercs,19-Jul,17385.75
5,nickmercs,19-Jun,21799.5
5,nickmercs,19-May,22631.92308
5,nickmercs,19-Apr,15813.54545
5,nickmercs,19-Mar,13795.52
5,nickmercs,19-Feb,17300.65217
5,nickmercs,19-Jan,22784.8
5,nickmercs,18-Dec,22637.38095
5,nickmercs,18-Nov,25231.25
5,nickmercs,18-Oct,25613.57143
5,nickmercs,18-Sep,25929.04348
5,nickmercs,18-Aug,21571.52381
5,nickmercs,18-Jul,24320.28
5,nickmercs,18-Jun,17508.95833
5,nickmercs,18-May,15111.11111
5,nickmercs,18-Apr,14713.41667
5,nickmercs,18-Mar,10696.07692
5,nickmercs,18-Feb,8451.645161
5,nickmercs,18-Jan,4631.827586
5,nickmercs,17-Dec,3378.230769
5,nickmercs,17-Nov,4160.8
5,nickmercs,17-Oct,3083.576923
5,nickmercs,17-Sep,1745.904762
5,nickmercs,17-Aug,2047.678571
